Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
LCPKRANGMINHCHAU,Nt Pk răng Minh Châu,"371 Thiên Lôi, Lê Chân, tp Hải Phòng",Lê Chân,,04KTTDVTUAN,Anh Đạt,0973949108
HAVANG,Nha khoa Dương Điển,"378 Ngô Gia Tự, Cát Bi Hải An, Hải Phòng",Cát Bi Hải An,,04KTTDVTUAN,Nguyễn Thị Vang,0906026762
ADBSTOAN,Nhà thuốc Xuân Học (PK bác sĩ Toán),"Minh Kha - Hồng Thái - An Dương, Hải Phòng",Thái - An Dương,,04KTTDVTUAN,Bùi Xuân Học,0936775796
LCNT128,Pk mắt Thành Vinh,"128  Trần Nguyên Hãn, Lê Chân, HP",Lê Chân,,04KTTDVTUAN,Chị Vinh - Kính mắt,0782348018
LC613THIENLOI,Nt pk nhi 613 Thiên Lôi,"613 Thiên Lôi, phường Vĩnh Niệm, quận Lê Chân, tp Hải Phòng",Lê Chân,,04KTTDVTUAN,BS Hùng,039 6231432
LCDRKHANH,Nt pk da liễu Dr.Khánh,"97 Mê Linh, Lê Chân, tp Hải Phòng",Lê Chân,0969830990,04KTTDVTUAN,Trần Huy Khánh,0912308525
LCTAMAN,NT pk phụ khoa Tâm An,"235 Hàng Kênh, quận Lê Chân, tp Hải Phòng",quận Lê Chân,,04KTTDVTUAN,Vũ Thị Minh Phương,0983270684
TNKIMNHI,Nt pk Kim Nhi,"Niên Ngoại, Kỳ Sơn, Thủy Nguyên, Hải Phòng","Sơn, Thủy Nguyên",h HC,04KTTDVTUAN,Nguyễn T Kim Nhi(hành chính),0963920494
PKBSHIEN,Nt pk chuyên khoa nhi tai mũi họng Huấn Hiền,"Thôn 2, xã Phù Ninh, huyện Thủy Nguyên, tp Hải Phòng",Thủy Nguyên,,04KTTDVTUAN,Khúc Thị Hiền,0768392682
LCPKBSHUE,Nt pk sản phụ khoa Bs Nguyễn Thị Huệ,"263C Trần Nguyên Hãn, Lê Chân, tp Hải Phòng",Lê Chân,,04KTTDVTUAN,Nguyễn Thị Huệ,0912393087
NQTHUYKPET,Pk thú y K Pet,"182 Đà Nẵng, Ngô Quyền, Hải Phòng",Ngô Quyền,,04KTTDVTUAN,Hà Văn Khang,098581834
ALBSHUAN,Phòng khám nội kho Bs Dương Đức Huấn,"Câu trung, Quang Hưng, An Lão, tp Hải Phòng",An Lão,,04KTTDVTUAN,Dương Đức Huấn,0943754111
ALPKSANBSDU,Nt pk sản khoa Bs Bùi Thị Dự,"Đâu Kiên, xã Quốc Tuấn, huyện An Lão, tp Hải Phòng",An Lão,,04KTTDVTUAN,Bùi Thị Dự,0945060405
ADPKBSVAN,Phòng khám Bs Vân,"đường Máng Nước, huyện An Dương, tp Hải Phòng",huyện An Dương,,04KTTDVTUAN,Bs Vân,0989316080
NQPK99ANDA,Phòng khám nhi 99 An Đà,"99 An Đà, phường Đằng Giang, quận Ngô Quyền, tp Hải Phòng",Ngô Quyền,,04KTTDVTUAN,Bs Hà,0395774813
HNNGUYENQUYNH,Nguyễn Văn Quỳnh,"Chợ Thống Nhất, xã Chân Lý, huyện Lý Nhân, tỉnh Hà Nam",Lý Nhân,,04KTTDVTUAN,Nguyễn Văn Quỳnh,0888728886
ADPKANDUONG,Phòng khám đa khoa An Dương,"Hy Thái, xã Đặng Cương, huyện An Dương, tp Hải Phòng",An Dương,,04KTTDVTUAN,Bs Hà,093 1500179
TNPKBSTHUAN,Phòng khám nội tổng hợp Bs Thuần,"Thôn Sau, xã Mỹ Đồng, huyện Thủy  Nguyên, tp Hải Phòng",Thủy  Nguyên,h HC giao BV TN,04KTTDVTUAN,Bs Thuần,0945630468
HBPKCHUCHEN,Nhà thuốc PK Chú Chen,"Bên phải Trường mầm non Quán Toan cổng chính, Phường Quán Toan, Quận Hồng Bàng,TP. Hải Phòng",Hồng Bàng,Giao HC,04KTTDVTUAN,Nguyễn Văn Chen,093 6635135
HBPKANHQUAN,Phòng Khám Răng Anh Quân,"1057 Tôn Đức Thắng, Sở Dầu, Hồng Bàng, HP","Sở Dầu, Hồng Bàng",,04KTTDVTUAN,Chú Lạc,0983030925
HBPKLINH,Phòng khám cơ xương khớp Bs Linh,"18C28 Đốc Tít, Trại Chuối, Hồng Bàng, tp Hải Phòng","Chuối, Hồng Bàng",,04KTTDVTUAN,Bs Linh,0904426296
LCDAOTHUY,Nt Pk tai mũi họng Đào Bích Thủy,"42 Chợ Con, phường Trại Cau, quận Lê Chân, tp Hải Phòng","Cau, quận Lê Chân",,04KTTDVTUAN,Đào Bích Thủy,0912233055
HBPHAMVINH,NT pk nội tổng hợp Phạm Thị Vinh,"Số 2 khu tái định cư Tam Bạc, p Hạ Lý, quận Hồng Bàng, tp Hải Phòng","Lý, quận Hồng Bàng",,04KTTDVTUAN,Phạm Thị Vinh,0898417725
TNDRPHUONG,Nt pk Dr Phương,"Đội 2, xã Liên Khê, huyện Thủy Nguyên, tp Hải Phòng","Khê, huyện Thủy Nguyên",,04KTTDVTUAN,Nguyễn Thu Phương,0989281182
ADDRYEN,Nt pk nhi Dr Nguyễn Thị Ngọc Yến,"210 Đường Máng, xã An Đồng, huyện An Dương, tp Hải Phòng","Đồng, huyện An Dương",,04KTTDVTUAN,Nguyễn Thị Ngọc Yến,0936300989
LCDSHUONG,Nt Pk nhi DS Hương,"77 Nguyễn Công Hòa, Lê Chân, Hải Phòng","Hòa, Lê Chân",ngoài HC,04KTTDVTUAN,Nguyễn Thị Lê Hương,0904357257
LCPK108,Nt pk nha khoa 108,"266C Trần Nguyên Hãn, phường Niệm Nghĩa, quận Lê Chân, tp Hải Phòng","Nghĩa, quận Lê Chân",0934969698,04KTTDVTUAN,Dương Đức Thành,0985367763
PKMATBSHONGTN,QTPKMat.BS Hồng,"Thôn Đền, xã Lâm Động, Thủy Nguyên, Hải Phòng","Động, Thủy Nguyên",,04KTTDVTUAN,Bs.Hồng,00915186467
HBPKNHI,Nt pk Nhi,"148 Hùng Vương, Hồng Bàng, Hải Phòng","Vương, Hồng Bàng",,04KTTDVTUAN,DS Thắm,0922344688
HNBSHIEP,Nt Pk mắt BS Hiệp,"CT CP cọc và bê tông Vina 68, xã thanh Lưu, huyện Thanh Liêm, tỉnh Hà Nam","Lưu, huyện Thanh Liêm",,04KTTDVTUAN,Anh Hiệp,0358965192
NQNKLINHVY,Nha khoa Linh Vy,"325 Lê Lợi, Ngô Quyền, tp Hải Phòng","Lợi, Ngô Quyền",,04KTTDVTUAN,Nguyễn Mạnh Đạt,0965141686
THHANHHAI,Nhà thuốc Hạnh Hải (Pk nhi Hạnh Hải),"197 Nguyễn Trãi, phường Tân Sơn, tp Thanh Hóa, tỉnh Thanh Hóa","Sơn, tp Thanh Hóa",,04KTTDVTUAN,Ds Hải,098 5773112
THOHOANGMAI,Phòng khám Hoàng Mai,"Số 238 Hải Thượng Lãn Ông, phường Tân Sơn, tp Thanh Hóa, tỉnh Thanh Hóa","Sơn, tp Thanh Hóa",,04KTTDVTUAN,Hoàng Thị Mai,0945549008
TNPKNOISOI,Nt phòng khám nội soi,"Thôn 7 xã Hòa Bình(mặt đường gần trường lái Nam Triệu), huyện Thủy Nguyên, tp Hải Phòng","Triệu), huyện Thủy Nguyên",,04KTTDVTUAN,Tô Thị Hương,0904569640
ADLONGHAI,Phòng khám Bs Vũ Thị Hải,"Thôn Hạ Đỗ, xã Hồng Phong, huyện An Dương, tp Hải Phòng","Phong, huyện An Dương",,04KTTDVTUAN,Vũ Thị Hải,0978612285
TNANHNAM,Nt pk anh Nam,An Lư - Thủy Nguyên - Hải Phòng,Lư - Thủy,,04KTTDVTUAN,Nguyễn Nam,098 2217786
HBNGUYENNGA,NT phòng xét nghiệm sinh hóa cô Nga,"142 Lý Thường Kiệt, Hồng Bàng, Hải Phòng","Kiệt, Hồng Bàng",,04KTTDVTUAN,Nguyễn Thị Nga,0912297788
TNANHDANG,NTPK răng Anh Đăng,"Xã Dương Quan, Huyện Thủy Nguyên, TP. Hải Phòng",Thủy Nguyên,,04KTTDVTUAN,Anh Đăng,0963088507
TBNGYENQUAN,Quầy thuốc Thanh Tầm,"Chợ Nan, xã Quỳnh Hoàng, huyện Quỳnh Phụ, tỉnh Thái Bình","Hoàng, huyện Quỳnh Phụ",0812326115,04KTTDVTUAN,Nguyễn Hữu Quân,0968610178
HBANHVUONG,Nt PK hội chữ thập đỏ Quán Toán,"Ngã tư Quán Toan, quận Hồng Bàng, tp Hải Phòng","Toan, quận Hồng Bàng",,04KTTDVTUAN,DS Vương,0974185801
TNCHILAN,Nt pk nha khoa C Lan,"Đường 352, Lại Xuân, Thủy Nguyên, Hải Phòng","Xuân, Thủy Nguyên",,04KTTDVTUAN,DS Lan,0984458362
TNKHANHLONH,NT pk nhi Khánh Linh,"Đối diện bệnh viện đa khoa huyện Thủy Nguyên, tp Hải Phòng",Đối diện bệnh viện đa khoa huyện Thủy Nguyên,,04KTTDVTUAN,Nguyễn Thị Sen,0934383404
HBXETNGHIEM,Nt phòng xét nghiệm 276 Nguyễn Công Hòa,"276 Nguyễn Công Hòa, Hồng Bàng, Hải Phòng","Hòa, Hồng Bàng",,04KTTDVTUAN,DS Ngọc,0984754115
HBHONGTUYET,PK nha khoa Hồng Tuyết,"134 đường 5/2 Hùng Vương, Hồng Bàng, Hải Phòng","Vương, Hồng Bàng",,04KTTDVTUAN,Trần Thị Bạch Tuyết,0983749275
NQPKNHI.BSYEN,NT PK nhi Trần Hải Yến,"133 Đông Khê, Ngô Quyền, Hải Phòng","Khê, Ngô Quyền",,04KTTDVTUAN,Bs Đức,0389040880
LCPKDALIEUHUE,Phòng khám chuyên khoa da liễu BS Huế,"326D Hai Bà Trung, Cát Dài, Lê Chân, tp Hải Phòng","Dài, Lê Chân",,04KTTDVTUAN,Nguyễn Thị Thu Huế,0365259966
LCNKMINHPHUC,Nha khoa Minh Phúc,"658 Thiên Lôi, Lê Chân, tp Hải Phòng","Lôi, Lê Chân",,04KTTDVTUAN,Trần Thị Hiên,0983867950
ADDSHAYENNHI,Quầy thuốc Yến Nhi,"Minh Kha, Đồng Thái, huyện An Dương, tp Hải Phòng","Thái, huyện An Dương",Đổi chủ từ 23/1,04KTTDVTUAN,Trần Ngọc Bảo Uyên,0787268886
ADPKBSKIEM,Phòng khám chuyên khoa ngoại BS Phạm Thị Kiệm,"258, Tổ 3 TT An Dương, huyện An Dương, tp Hải Phòng","Dương, huyện An Dương",,04KTTDVTUAN,Phạm Thị Kiệm,0974130036
ADNKBINHMINH,Nha khoa Bình Minh (SĐT giao hàng 0984146158),"Ngọ Dương, An Hòa, huyện An Dương, tp Hải Phòng","Hòa, huyện An Dương",,04KTTDVTUAN,Phạm Xuân Phách,0975509866
TNPKNHITAMAN,Phòng khám nhi Tâm An,"Mặt đường 352, Cao Nhân, Thủy Nguyên, tp Hải Phòng","Nhân, Thủy Nguyên",,04KTTDVTUAN,Bs Thùy Linh,0979778468
NQPKLANANH,Pk sản BS Lan Anh,"2/411 Đà Nẵng, Ngô Quyền, Hải Phòng","Nẵng, Ngô Quyền",,04KTTDVTUAN,,0986928806
ADPKMINHHANG,Phòng khám tai mũi họng Minh Hằng,"đường 208 Hoàng Lâu, xã Hồng Phong, huyện An Dương, tp Hải Phòng","Phong, huyện An Dương",Ngoài H HC,04KTTDVTUAN,Vũ Thị Minh,0918922882
VBBSGIADINH,NT PK BS Gia Đình,"Thôn 1 xã Dũng Tiến, huyện Vĩnh Bảo, tp Hải Phòng","Tiến, huyện Vĩnh Bảo",,04KTTDVTUAN,,0384920506
TNPKBSTHE,Nt pk BS The,"Thôn 7 xã Thủy Sơn (phí sau BVĐK Thủy Nguyên), huyện Thủy Nguyên, tp Hải Phòng","Nguyên), huyện Thủy Nguyên",,04KTTDVTUAN,BS The,0914556322
ALBSTHANG,Nt pk tai mũi họng BS Thắng,"202 Trường Sơn, TT Trường Sơn, huyện An Lão, tp Hải Phòng","Sơn, huyện An Lão",,04KTTDVTUAN,Lê Hoàng Xuân Thắng,0973972468
KAPKSEOUL,Nt pk nha khoa Seoul,"88 Trần Tất Văn, Kiến An, tp Hải Phòng","Văn, Kiến An",,04KTTDVTUAN,,0975741836
TNPKNKHOANGNGAN,Pk Nha khoa Hoàng Ngân,"Thôn 12 Hoa Động, Thủy Nguyên, tp Hải Phòng","Động, Thủy Nguyên",,04KTTDVTUAN,Nguyễn Bích Ngân,0971024956
ADPKDUONGAN,Nt pk nha khoa Dương An,"Số 97 tổ 4 Tt An Dương, huyện An Dương, tp Hải Phòng","Dương, huyện An Dương",,04KTTDVTUAN,Lê Lập,0916261619
TNPKBSYEN,Nt pk tai mũi họng Yến Hiền,"An Lư, Thủy Nguyên, tp Hải Phòng","Lư, Thủy Nguyên",,04KTTDVTUAN,BS Yến,0969344508
LCBVSANNHI,Nhà thuốc bệnh viện quốc tế sản nhi,"124 Nguyễn Đức Cảnh, Lê Chân, tp Hải Phòng","Cảnh, Lê Chân",,04KTTDVTUAN,,
AD.HUYENTRANG,Quầy thuốc Huyền Trang,"Vân Tra, An Đồng, An Dương, tp Hải Phòng","Đồng, An Dương",,04KTTDVTUAN,Nguyễn Huyền Trang,0396567790
ADPKVIETMY,Nt pk nha khoa Việt Mỹ,"Số 51 liền kề 4, KĐT An Đồng, huyện An Dương, tp Hải Phòng","Đồng, huyện An Dương",,04KTTDVTUAN,,0969455266
TNMINHHUAN,Pk tai mũi họng Minh Huấn,"Đội 7, Tân Dương, Thủy Nguyên, Hải Phòng","Dương, Thủy Nguyên",ngoài h HC,04KTTDVTUAN,Nguyễn Minh Huấn,0984863496
ADBVANDUONG,Nhà thuốc trung tâm y tế (Quầy thuốc BVĐK An Dương),"Bệnh viện đa khoa An Dương, TDP 3, TT An Dương, huyện An Dương, tp Hải Phòng","Dương, huyện An Dương",,04KTTDVTUAN,Trương Thị Thùy Hương,0906297336
TNKIEMHUONG,NT phòng khám răng Kiểm Hường,"Thôn 2 Phả Lễ, Thủy Nguyên, Hải Phòng","Lễ, Thủy Nguyên",,04KTTDVTUAN,Đàm Thị Hường,0347 339 869
TNDOTHUY,NT Phòng khám mắt Hoa Hồng,"Chợ Chùa, Thủy Triều, huyện Thủy Nguyên, tp Hải Phòng","Triều, huyện Thủy Nguyên",0772200755,04KTTDVTUAN,Đỗ Thị Thúy Hồng,0972168073
LCHOANGVIET,Nhà thuốc BV thú y Đức Việt,"291 Chợ Hàng Cũ, Hàng Kênh, Lê Chân, Hải Phòng","Kênh, Lê Chân",,04KTTDVTUAN,Hoàng Đức Việt,0936 359 427
LCPKHAHUNG,PK nhi - Nguyễn Quang Hùng,"125 Trần Nguyên Hãn, Lê Chân, Hải Phòng","Hãn, Lê Chân",,04KTTDVTUAN,Nguyễn Quang Hùng,098 3358428
VBCOBINH,Trang trại gà cô Bình,"Gần UBND xã Tân Hưng, huyện Vĩnh Bảo, tp Hải Phòng","Hưng, huyện Vĩnh Bảo",,04KTTDVTUAN,Cô Bình,0961896407
LCDOTHUY,Nt Pk sản Đỗ Thị Thu Thủy,"128  Hai Bà Trưng, quận Lê Chân, tp Hải Phòng","Trưng, quận Lê Chân",,04KTTDVTUAN,Đỗ Thị Thu Thủy,0912189778
HBPKBSTHANH,Nt phòng khám tai mũi  họng - Bs Lương Tuấn Thành,"Số 5 Phan Chu Trinh, phường Hoàng Văn Thụ, quận Hồng Bàng, tp Hải Phòng","Thụ, quận Hồng Bàng",,04KTTDVTUAN,Lương Tuấn Thành,0903222465
TNTKTMHTRANLIEN,Nt pk tai mũi họng Trần Thị Kim Len,"Thôn 5 xã Thủy Triều, Thủy Nguyên, Hải Phòng","Triều, Thủy Nguyên",ngoài h hoặc TYTTN,04KTTDVTUAN,Trần Thị Kim Len,0936982402
TNOKTMHDRHOANG,Nt pk tai mũi họng Dr Hoàng,"Thôn My Đông, xã Ngũ Lão, huyện Thủy Nguyên, tp Hải Phòng","Lão, huyện Thủy Nguyên",,04KTTDVTUAN,Đào Thị Thúy Hoài,0387226422
LCHOANGHUY,Cửa hàng kính Hoàng Huy,"207 Nguyễn Đức Cảnh, Lê Chân, tp Hải Phòng","Cảnh, Lê Chân",,04KTTDVTUAN,Mai Thị Lan,0912522697
ALPHAMTHU,Nt Pk sản BS Phạm Thị Thu Hương,"29 Nguễn Văn Trỗi, TT An Lão, huyện An Lão, tp Hải Phòng","Lão, huyện An Lão",,04KTTDVTUAN,Phạm Thị Thu Hương,0979803158
TNTUTAM,Nt pk Từ Tâm,"Lưu Kiếm, Thủy Nguyên, Hải Phòng","Kiếm, Thủy Nguyên",0966618357,04KTTDVTUAN,Vũ Đình Mai,0975861838
LCDRGIANG,Nt pk Dr Giang,"143 Nguyễn Cộng Hòa, quận Lê Chân, tp Hải Phòng","Hòa, quận Lê Chân",,04KTTDVTUAN,Hà Thị Thanh Giang,0912016631
TNVANPHUC,Nt pk đa khoa Vạn Phúc,"Thôn Trại, Thủy Đường, Thủy Nguyên, Hải Phòng","Đường, Thủy Nguyên",,04KTTDVTUAN,Lê Cải,0913197966
ADPKDOHUYEN,Nt Pk nhi Đỗ Thị Thu Huyền,"131A đường Máng Nước, huyện An Dương, tp Hải Phòng","Nước, huyện An Dương",,04KTTDVTUAN,Đỗ Thị Thu Huyền,0988623668
TNTUANHOA,Pk Nha khoa Tuấn Hòa,"Thủy Sơn  (Đối diện BV đa khoa Thủy Nguyên), Thủy Nguyên, Hải Phòng","Nguyên), Thủy Nguyên",,04KTTDVTUAN,Bùi Đức Tuấn,0904 643 387
TNPKSANLINH,Nt PK sản Chị Linh,"My Đông, xã Ngũ Lão, huyện Thủy Nguyên, tp Hải Phòng","Lão, huyện Thủy Nguyên",,04KTTDVTUAN,Lại Thùy Linh,0936596885
TNDRHUY,Nt pkTMH Nguyễn Văn Huy,"Thôn 5 xã Kỳ Sơn, huyện Thủy Nguyên, tp Hải Phòng","Sơn, huyện Thủy Nguyên",,04KTTDVTUAN,Nguyễn Văn Huy,0977407371
LCPK227,Nt pk tai mũi họng,"227 Hai Bà Trưng, Lê Chân, Hải Phòng","Trưng, Lê Chân",,04KTTDVTUAN,Nguyễn Ngọc Hà,0912427567
ADPKBSHOA,Nt Pk sản BS Lê Thị Mỹ Hòa,"Minh Khai, Hồng Thái, huyện An Dương, tp Hải Phòng","Thái, huyện An Dương",,04KTTDVTUAN,Lê Thị Mỹ Hòa (DS Thùy),0934391224
KAKINHMATVIETTIN,Cửa hàng Kính Mắt Việt Tín,"Số 02 Phan Đăng Lưu, Kiến An, tp Hải Phòng","Lưu, Kiến An",,04KTTDVTUAN,Vũ Văn Thành,0904038968
HBPKGIADINH,Nt pk BS Gia Đình,"45 khu đô thị Nam Sơn, Quán Toan, Hồng Bàng, Hải Phòng","Toan, Hồng Bàng",,04KTTDVTUAN,BS Thảo,038 9584485
ADPKDRBUI,Nt Pk nhi Dr Bùi Cao Tiến,"Khánh Thịnh, An Hồng, An Dương, Hải Phòng","Hồng, An Dương",,04KTTDVTUAN,Bùi Cao Tiến,0973492127
LCNTTHUYDUONG,Nhà thuốc Thùy Dương,"251 Miếu Hai Xã, Lê Chân, Hải Phòng","Xã, Lê Chân",,04KTTDVTUAN,DS Ngọc,0399086268
KABSMAI,Nt pk BS Mai,"175 Trần Tất Văn, Kiến An, Hải Phòng","Văn, Kiến An",,04KTTDVTUAN,Đỗ Thị Quỳnh Mai,0978029628
NQBSTHU,Nt Pk mắt BS Thu,"71A Lương Khánh Thiện, Ngô Quyền, Hải Phòng","Thiện, Ngô Quyền",,04KTTDVTUAN,BS Thu,0914466971
TNDUCTRUNG,Nt PK đa khoa Đức Trung,"Lò Cao, Kênh Giang, Thủy Nguyên, Hải Phòng","Giang, Thủy Nguyên",,04KTTDVTUAN,Đinh Thị Dung,0705895169
TNNGUYENMO,Nt pk mắt Nguyễn Thị Mơ,"Thôn 6 xã Mỹ Đồng, huyện Thủy Nguyên, tp Hải Phòng","Đồng, huyện Thủy Nguyên",,04KTTDVTUAN,Nguyễn Thị Mơ,0983160252
NQPKDSHUONG,NT PK tổng hợp,"291 Đông Khê, Ngô Quyền, Hải Phòng","Khê, Ngô Quyền",,04KTTDVTUAN,Nguyễn Thị Hương,0982354768
HABSQUYNH,Nt pk cơ xương khớp Bs Phạm Văn Quỳnh,"1155 Ngô Gia Tự, Hải An tp Hải Phòng",Tự,Ngoài h,04KTTDVTUAN,Phạm Văn Quỳnh,0912308166
HABSAN,Nt pk Nội Khoa,"18A/580 Ngô Gia Tự, Hải An, tp Hải Phòng","Tự, Hải An",,04KTTDVTUAN,Ngô Hoài Ân,0903646976
LCBSNGOC,Nt pk nhi BS Ngọc,"152 Trung Lực, Hải An, tp Hải Phòng","Lực, Hải An",,04KTTDVTUAN,BS Ngọc,0367082040
LCPKBSQUANG,Nt Pk nội khoa BS Quang,"99B/213 Thiên Lôi, Lê Chân, tp Hải Phòng","Lôi, Lê Chân",,04KTTDVTUAN,BS Quang,0901508689
LCPKPHAMHUONG,PK tai mũi họng 209 Nguyễn Đức Cảnh,"209 Nguyễn Đức Cảnh, Lê Chân, tp Hải Phòng","Cảnh, Lê Chân",,04KTTDVTUAN,Phạm Thị Hương,0912704757
NQLANNH,Nt pk sản BS Lan Anh,"Cuối đường Nguyễn Bình, Ngô Quyền, tp Hải Phòng","Bình, Ngô Quyền",,04KTTDVTUAN,BS Lan Anh,0902530325
HBDUYVU,NTPK nha khoa Duy Vũ,"125 Hải Triều, Quán Toan, Hồng Bàng, Hải Phòng","Toan, Hồng Bàng",,04KTTDVTUAN,,
ADPKTHUHANG,Phòng khám TMH Huy Hằng,"Chợ Ngà, Do Nha, Tân Tiến, An Dương, Hải Phòng","Tiến, An Dương",Gtrc 9hm sau 17h,04KTTDVTUAN,Nguyễn Thị Thu Hằng,0914450923
ADPKNOIBSHUONG,Nt phòng khám nội Bs Hoàng Thị Hường,"Tân Thanh, Đại Bản, An Dương, Tp hải Phòng","Bản, An Dương",,04KTTDVTUAN,Hoàng Thị Hường,0936408041
HABUIVU,Nt pk tai mũi họng TS Bùi Duy Vũ,"347 Ngô Gia Tự, Hải An, tp Hải Phòng","Tự, Hải An",,04KTTDVTUAN,Bùi Duy Vũ,0988398566
TNPKCOHUONG,Nt pk sản cô Hường,"gần chợ Hoa Động, huyện Thủy Nguyên, tp Hải Phòng","Động, huyện Thủy Nguyên",,04KTTDVTUAN,Bs Hường,0916288566
LCPPKNHIDSLOAN,Phòng khám chuyên khoa nhi Bs Nguyễn Thanh Loan,"Số 5 khu B4 Hoàng Huy Mail, đường Võ Nguyên Giáp, phường Kênh Dương, Lê Chân, Hải Phòng","Dương, Lê Chân",ngoài h HC,04KTTDVTUAN,Nguyễn Thị Thanh Loan,0914831240
TNPKCOTHAI,Phòng khám nội Cô Thái,"xã Lại Xuân (gân trại giam), huyện Thủy Nguyên, tp Hải Phòng","Xuân (gân trại giam), huyện Thủy Nguyên",,04KTTDVTUAN,Bs Thái,0936912357
ADPKBSHUONG,Phòng khám nhi Bs Hương,"Số 12/12 Cống Mỹ, xã Nam Sơn, , huyện An Dương, tp Hải Phòng","Sơn, , huyện An Dương",,04KTTDVTUAN,Bs Hương,0962637830
HDPKTAMTUYET,Phòng khám mắt Tám Tuyết,"265 Trần Hưng Đạo, Nhị Châu, tp Hải Dương, tỉnh Hải Dương","Châu, tp Hải Dương",,04KV.KHOIBAN,Nguyễn Thị Tuyết,0915716478
KTMINHNGUYET,Quầy thuốc Minh Nguyệt,"Kim Liên, Kim Thành, Hải Dương","Liên, Kim Thành",,04KV.KIMTHANH,Phí Thị Minh Nguyệt,0974850479
KTTUANKHANG,Quầy thuốc Tuấn Khang,"Chợ Xuyên,Kim Liên, Kim Thành, Hải Dương","Liên, Kim Thành",,04KV.KIMTHANH,Đỗ Thị Huyền,0987055994
KTNGOCHAN,Quầy thuốc Ngọc Hân,"Thôn Thiên Đông, xã Kim Tân, huyện Kim Thành, tỉnh Hải Dương","Tân, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thị Lương,0354465716
KTQTKIMOANH,Quầy thuốc Kim Oanh,"Thôn Phí Gia, xã Đồng Cẩm, huyện Kim Thành, tỉnh Hải Dương","Cẩm, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Kim Oanh,0969181273
KTTRUNGTAM,Quầy thuốc trung tâm,"Kiến Lễ, xã Đại Đức, huyện Kim Thành, tỉnh Hải Dương","Đức, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hà,0886725695
KTPKVANHANG,Nt pk răng Vân Hằng,"Truyn Tuyến, xã Bình Dân, huyện Kim Thành, tỉnh Hải Dương","Dân, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hằng,0968595514
KTPK103,Nt pk răng 103,"đường 20/9 Tt Phú Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Ngát,0984969262
